year,green_kiwifruit,gold_kiwifruit,other_kiwifruit,total_canopy_area,green_share_pct,gold_share_pct,other_share_pct
2007,10500,2300,300,13100,80.15,17.56,2.29
2009,10500,2500,300,13300,78.95,18.8,2.26
2011,10000,2900,200,13100,76.34,22.14,1.53
2012,9500,3100,200,12800,74.22,24.22,1.56
2014,7000,3700,300,11000,63.64,33.64,2.73
2017,6800,4800,200,11800,57.63,40.68,1.69
2019,7800,7000,200,15000,52.0,46.67,1.33
2020,7500,7800,300,15600,48.08,50.0,1.92
2022,6500,7800,400,14700,44.22,53.06,2.72
2024,5600,8200,700,14500,38.62,56.55,4.83
